"GET /static/assets/imgs/theme/icons/icon-clock.svg HTTP/1.1" 200 1241
"GET /static/assets/imgs/theme/icons/search.png HTTP/1.1" 404 2029
"GET /static/assets/imgs/page/login-1.png HTTP/1.1" 200 270812
"GET /static/assets/imgs/banner/banner-22.png HTTP/1.1" 200 940183
"GET /static/assets/fonts/uicons/uicons-regular-straight.woff2 HTTP/1.1" 200 31072
"GET /static/assets/imgs/theme/icons/icon-plane.png HTTP/1.1" 200 3150
"GET /static/assets/imgs/banner/banner-10.png HTTP/1.1" 200 28409
"POST /users/sign-in/?next=/return-confirmation/RMA2EA6A44B/ HTTP/1.1" 200 149836
"GET /static/assets/imgs/theme/icons/search.png HTTP/1.1" 404 2029
"POST /users/sign-in/?next=/return-confirmation/RMA2EA6A44B/ HTTP/1.1" 302 0
Not Found: /return-confirmation/RMA2EA6A44B/
"GET /return-confirmation/RMA2EA6A44B/ HTTP/1.1" 404 9014
Not Found: /favicon.ico
"GET /favicon.ico HTTP/1.1" 404 13100
"POST /users/sign-in/?next=/return-confirmation/RMA2EA6A44B/ HTTP/1.1" 302 0
"GET / HTTP/1.1" 200 548349
"GET /media/user_1/1_40.jpg HTTP/1.1" 200 12280
"GET /media/user_1/2_15.jpg HTTP/1.1" 200 19172
"GET /static/assets/imgs/slider/img4.png HTTP/1.1" 200 200312
"GET /static/assets/imgs/slider/img1.png HTTP/1.1" 200 231082
"GET /static/assets/imgs/slider/img3.png HTTP/1.1" 200 226173
"GET /media/user_1/5_8.jpg HTTP/1.1" 200 25606
"GET /media/user_1/2_18.jpg HTTP/1.1" 200 28986
"GET /media/user_1/17031905870118bacad0dfcc64cd7a43a3b68796f5795_2.webp HTTP/1.1" 200 24120
"GET /media/user_1/1_24.jpg HTTP/1.1" 200 59772
"GET /media/user_1/1_42.jpg HTTP/1.1" 200 17302
"GET /media/user_1/1_35.jpg HTTP/1.1" 200 33614
"GET /media/user_1/1_10.jpg HTTP/1.1" 200 57819
"GET /media/user_1/5_4.jpg HTTP/1.1" 200 30472
"GET /media/user_1/251120102231_0ea85c5ca7ec80d60ef005251bcc7b31.webp HTTP/1.1" 200 22570
"GET /media/user_1/China_Town_M.jpg HTTP/1.1" 200 177124
"GET /media/user_1/1_43.jpg HTTP/1.1" 200 8399
"GET /media/user_1/Coffee-Makers.png HTTP/1.1" 200 25572
"GET /media/user_1/Mixers_ERoTWNY.png HTTP/1.1" 200 27798
"GET /media/user_1/1_37.jpg HTTP/1.1" 200 9574
"GET /media/user_1/1_41.jpg HTTP/1.1" 200 21376
"GET /media/user_1/1_45.jpg HTTP/1.1" 200 15182
"GET /media/user_1/WhatsApp_Image_2026-02-03_at_11.03.32.jpeg HTTP/1.1" 200 87893
"GET /media/user_1/3_21_8Q5HRjl.jpg HTTP/1.1" 200 20020
"GET /media/user_1/1_31.jpg HTTP/1.1" 200 36095
"GET /static/assets/imgs/theme/icons/search.png HTTP/1.1" 404 2029
"GET /media/user_1/1_29_mi5DLKk.jpg HTTP/1.1" 200 45702
"GET /media/user_1/China_Town_M_CL6hpzp.jpg HTTP/1.1" 200 177124
"GET /media/user_1/1_29.jpg HTTP/1.1" 200 45702
"GET /static/assets/imgs/slider/slider-8.png HTTP/1.1" 200 695846
"GET /static/assets/imgs/slider/slider17.png HTTP/1.1" 200 676435
"GET /static/assets/imgs/theme/rating-stars.png HTTP/1.1" 200 3095
"GET /users/sign-out/ HTTP/1.1" 302 0
"GET /users/sign-in/ HTTP/1.1" 200 149794
"GET /static/assets/imgs/theme/icons/search.png HTTP/1.1" 404 2029
"GET /return-confirmation/RMA2EA6A44B/ HTTP/1.1" 302 0
"GET /users/sign-in/?next=/return-confirmation/RMA2EA6A44B/ HTTP/1.1" 200 149495
"GET /static/assets/imgs/theme/icons/search.png HTTP/1.1" 404 2029
"POST /users/sign-in/?next=/return-confirmation/RMA2EA6A44B/ HTTP/1.1" 200 149836
"GET /static/assets/imgs/theme/icons/search.png HTTP/1.1" 404 2029
"POST /users/sign-in/?next=/return-confirmation/RMA2EA6A44B/ HTTP/1.1" 200 149835
"GET /static/assets/imgs/theme/icons/search.png HTTP/1.1" 404 2029
Watching for file changes with StatReloader
"GET /users/sign-in/ HTTP/1.1" 302 0
"GET / HTTP/1.1" 200 508037
"GET /media/user_1/1_45.jpg HTTP/1.1" 304 0
"GET /static/assets/imgs/theme/icons/search.png HTTP/1.1" 404 2029
"GET /dashboard/ HTTP/1.1" 200 165917
"GET /static/assets/imgs/theme/icons/search.png HTTP/1.1" 404 2029
D:\ecommerce\ecomm\core\utils\email_utils.py changed, reloading.
Watching for file changes with StatReloader
Watching for file changes with StatReloader
"GET /dashboard/ HTTP/1.1" 200 165917
"GET /static/assets/imgs/theme/icons/search.png HTTP/1.1" 404 2029
"GET /dashboard/order/29 HTTP/1.1" 200 177127
"GET /static/assets/imgs/theme/icons/search.png HTTP/1.1" 404 2029
"GET /refund/80/ HTTP/1.1" 302 0
"GET /dashboard/order/29 HTTP/1.1" 200 177503
"GET /static/assets/imgs/theme/icons/search.png HTTP/1.1" 404 2029
"GET /useradmin/returns/ HTTP/1.1" 200 47389
"GET /static/assets/imgs/page/kstores3.png HTTP/1.1" 404 2014
"GET /static/assets2/js/main.js%3Fv%3D1.1 HTTP/1.1" 404 2003
"GET /media/user_1/WhatsApp_Image_2026-02-03_at_11.03.32.jpeg HTTP/1.1" 304 0
"GET /useradmin/returns/18/ HTTP/1.1" 200 20819
"GET /static/assets2/js/main.js%3Fv%3D1.1 HTTP/1.1" 404 2003
"GET /static/assets/imgs/page/kstores3.png HTTP/1.1" 404 2014
Internal Server Error: /useradmin/returns/18/
Traceback (most recent call last):
  File "D:\ecommerce\env\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
               ^^^^^^^^^^^^^^^^^^^^^
  File "D:\ecommerce\env\Lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\ecommerce\ecomm\useradmin\views.py", line 44, in wrapper
    return view_func(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\ecommerce\ecomm\useradmin\views.py", line 789, in admin_return_detail
    return redirect('core:admin-return-detail', pk=return_request.pk)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\ecommerce\env\Lib\site-packages\django\shortcuts.py", line 51, in redirect
    resolve_url(to, *args, **kwargs),
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\ecommerce\env\Lib\site-packages\django\shortcuts.py", line 184, in resolve_url
    return reverse(to, args=args, kwargs=kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\ecommerce\env\Lib\site-packages\django\urls\base.py", line 98, in reverse
    resolved_url = resolver._reverse_with_prefix(view, prefix, *args, **kwargs)
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\ecommerce\env\Lib\site-packages\django\urls\resolvers.py", line 831, in _reverse_with_prefix
    raise NoReverseMatch(msg)
django.urls.exceptions.NoReverseMatch: Reverse for 'admin-return-detail' not found. 'admin-return-detail' is not a valid view function or pattern name.
"POST /useradmin/returns/18/ HTTP/1.1" 500 101547
"GET /useradmin/returns/18/ HTTP/1.1" 200 19967
"GET /refund/82/ HTTP/1.1" 200 165131
"GET /static/assets/imgs/theme/icons/search.png HTTP/1.1" 404 2029
"POST /refund/82/ HTTP/1.1" 302 0
"GET /return-confirmation/RMAF2E6C884/ HTTP/1.1" 200 159589
"GET /static/assets/imgs/theme/icons/search.png HTTP/1.1" 404 2029
"GET /return-confirmation/RMAF2E6C884/ HTTP/1.1" 302 0
"GET /users/sign-in/?next=/return-confirmation/RMAF2E6C884/ HTTP/1.1" 200 149495
"GET /static/assets/css/plugins/slider-range.css HTTP/1.1" 200 2718
"GET /static/assets/css/main.css HTTP/1.1" 200 253994
"GET /static/assets/css/custom.css HTTP/1.1" 200 5210
"GET /static/assets/css/vendors/normalize.css HTTP/1.1" 200 6371
"GET /static/assets/css/vendors/bootstrap.min.css HTTP/1.1" 200 204203
"GET /static/assets/css/vendors/uicons-regular-straight.css HTTP/1.1" 200 18701
"GET /static/assets/css/plugins/magnific-popup.css HTTP/1.1" 200 7306
"GET /static/assets/css/plugins/select2.min.css HTTP/1.1" 200 10532
"GET /static/assets/css/plugins/slick.css HTTP/1.1" 200 1949
"GET /static/assets/css/plugins/perfect-scrollbar.css HTTP/1.1" 200 2702
"GET /static/assets/imgs/page/Hlogo.png HTTP/1.1" 200 165299
"GET /static/assets/imgs/theme/icons/icon-heart.svg HTTP/1.1" 200 1322
"GET /static/assets/imgs/theme/icons/icon-cart.svg HTTP/1.1" 200 1378
"GET /static/assets/imgs/theme/icons/icon-user.svg HTTP/1.1" 200 1771
"GET /media/category/4_9.jpg HTTP/1.1" 200 24278
"GET /static/assets/js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 200 17315
"GET /static/assets/js/vendor/jquery-migrate-3.3.0.min.js HTTP/1.1" 200 16151
"GET /static/assets/js/vendor/bootstrap.bundle.min.js HTTP/1.1" 200 138686
"GET /static/assets/js/plugins/slick.js HTTP/1.1" 200 55958
"GET /static/assets/js/vendor/jquery-3.6.0.min.js HTTP/1.1" 200 154196
"GET /static/assets/js/plugins/jquery.syotimer.min.js HTTP/1.1" 200 9981
"GET /static/assets/js/plugins/wow.js HTTP/1.1" 200 12009
"GET /static/assets/js/plugins/slider-range.js HTTP/1.1" 200 76783
"GET /static/assets/js/plugins/perfect-scrollbar.js HTTP/1.1" 200 45974
"GET /static/assets/js/plugins/magnific-popup.js HTTP/1.1" 200 34782
"GET /static/assets/js/plugins/waypoints.js HTTP/1.1" 200 12878
"GET /static/assets/js/plugins/counterup.js HTTP/1.1" 200 2034
"GET /static/assets/js/plugins/jquery.countdown.min.js HTTP/1.1" 200 7241
"GET /static/assets/js/plugins/images-loaded.js HTTP/1.1" 200 7454
"GET /static/assets/js/plugins/scrollup.js HTTP/1.1" 200 2761
"GET /static/assets/js/plugins/jquery.vticker-min.js HTTP/1.1" 200 4028
"GET /static/assets/js/plugins/select2.min.js HTTP/1.1" 200 131250
"GET /static/assets/js/plugins/jquery.theia.sticky.js HTTP/1.1" 200 16507
"GET /static/assets/js/plugins/isotope.js HTTP/1.1" 200 50244
"GET /static/assets/js/shop.js HTTP/1.1" 200 3918
"GET /static/assets/js/plugins/jquery.elevatezoom.js HTTP/1.1" 200 78877
"GET /static/assets/js/main.js HTTP/1.1" 200 24468
"GET /static/assets/js/function.js HTTP/1.1" 200 17810
"GET /static/assets/js/infinite-scroll.js HTTP/1.1" 200 6262
"GET /media/category/1_14.jpg HTTP/1.1" 200 10233
"GET /static/assets/imgs/theme/icons/icon-1.svg HTTP/1.1" 200 5445
"GET /static/assets/imgs/theme/icons/icon-2.svg HTTP/1.1" 200 11526
"GET /media/category/1_34.jpg HTTP/1.1" 200 37378
"GET /static/assets/imgs/theme/icons/icon-3.svg HTTP/1.1" 200 3073
"GET /media/category/1_18.jpg HTTP/1.1" 200 75436
"GET /static/assets/imgs/theme/icons/icon-4.svg HTTP/1.1" 200 5390
